StartDate,Consumption
12-03-2018,241.95
13-03-2018,261.45
14-03-2018,268.5
15-03-2018,258.25
16-03-2018,216.75
17-03-2018,95.85
18-03-2018,74.65
19-03-2018,259.3
20-03-2018,267.4
21-03-2018,283.8
22-03-2018,289.5
23-03-2018,216.5
24-03-2018,98.25
25-03-2018,67.25
25-03-2018,249.9
26-03-2018,263.25
27-03-2018,254.95
28-03-2018,256.7
29-03-2018,218.4
30-03-2018,96.7
31-03-2018,53.25
01-04-2018,54
02-04-2018,253.55
03-04-2018,277.4
04-04-2018,266.15
05-04-2018,247.55
06-04-2018,93.75
07-04-2018,53.55
08-04-2018,226.8
09-04-2018,210.1
10-04-2018,230.2
11-04-2018,236.25
12-04-2018,227.55
13-04-2018,107.8
14-04-2018,59.4
15-04-2018,266
16-04-2018,251.1
17-04-2018,241.75
18-04-2018,236.8
19-04-2018,190.95
20-04-2018,78
21-04-2018,25.45
22-04-2018,240.85
23-04-2018,249.9
24-04-2018,233.45
25-04-2018,267.85
26-04-2018,240.25
27-04-2018,110.75
28-04-2018,56.95
29-04-2018,250.55
30-04-2018,79.2
01-05-2018,282.7
02-05-2018,274.65
03-05-2018,220.35
04-05-2018,90.25
05-05-2018,40
06-05-2018,234.9
07-05-2018,216.15
08-05-2018,259.4
09-05-2018,50.65
10-05-2018,195.75
11-05-2018,77.75
12-05-2018,58.95
13-05-2018,251.1
14-05-2018,270.6
15-05-2018,242
16-05-2018,245.1
17-05-2018,214.8
18-05-2018,99.4
19-05-2018,58.95
20-05-2018,56.15
21-05-2018,238.55
22-05-2018,226.75
23-05-2018,245
24-05-2018,253.5
25-05-2018,79.7
26-05-2018,45.6
27-05-2018,233.5
28-05-2018,238.25
29-05-2018,252.05
30-05-2018,254.8
31-05-2018,210.2
01-06-2018,89.25
02-06-2018,49.85
03-06-2018,235.5
04-06-2018,259.4
05-06-2018,237.05
06-06-2018,236.9
07-06-2018,217.35
08-06-2018,114.8
09-06-2018,52.45
10-06-2018,227.85
11-06-2018,225.75
12-06-2018,233.35
13-06-2018,220.75
14-06-2018,220.9
15-06-2018,75.7
16-06-2018,44
17-06-2018,283.45
18-06-2018,245
19-06-2018,222.2
20-06-2018,237.95
21-06-2018,173.4
22-06-2018,104.35
23-06-2018,40.8
24-06-2018,226.6
25-06-2018,272.9
26-06-2018,238.1
27-06-2018,213.2
28-06-2018,206.55
29-06-2018,70.45
30-06-2018,48.6
01-07-2018,190.55
02-07-2018,192.2
03-07-2018,206.4
04-07-2018,215
05-07-2018,187.1
06-07-2018,92.25
07-07-2018,47.6
08-07-2018,224.55
09-07-2018,241.05
10-07-2018,229.9
11-07-2018,244.55
12-07-2018,222.8
13-07-2018,97.45
14-07-2018,58.8
15-07-2018,218.6
16-07-2018,208.45
17-07-2018,259.4
18-07-2018,211.55
19-07-2018,204.7
20-07-2018,55.1
21-07-2018,50.25
22-07-2018,58.95
23-07-2018,205.65
24-07-2018,211.15
25-07-2018,227.6
26-07-2018,167.5
27-07-2018,65.4
28-07-2018,42
29-07-2018,192.35
30-07-2018,229.65
31-07-2018,235.4
01-08-2018,194.25
02-08-2018,174.6
03-08-2018,84.55
04-08-2018,93.1
05-08-2018,213.65
06-08-2018,232.75
07-08-2018,196.8
08-08-2018,205.5
09-08-2018,184.3
10-08-2018,79.2
11-08-2018,46.6
12-08-2018,231.2
13-08-2018,241.1
14-08-2018,53.2
15-08-2018,210.9
16-08-2018,174.85
17-08-2018,73.65
18-08-2018,41.6
19-08-2018,193.6
20-08-2018,191.15
21-08-2018,226.75
22-08-2018,207.85
23-08-2018,180.4
24-08-2018,70.85
25-08-2018,45.5
26-08-2018,203.1
27-08-2018,183.55
28-08-2018,183.2
29-08-2018,166.85
30-08-2018,172.95
31-08-2018,80.45
01-09-2018,50.2
02-09-2018,203.45
03-09-2018,199.05
04-09-2018,177
05-09-2018,189.5
06-09-2018,179.15
07-09-2018,91.15
08-09-2018,45.2
09-09-2018,224
10-09-2018,186.6
11-09-2018,224.2
12-09-2018,182.5
13-09-2018,143.25
14-09-2018,66.75
15-09-2018,43.9
16-09-2018,223.25
17-09-2018,234.1
18-09-2018,234.65
19-09-2018,210.25
20-09-2018,207.3
21-09-2018,70.1
22-09-2018,43.65
23-09-2018,243.1
24-09-2018,224.75
25-09-2018,221.95
26-09-2018,224.05
27-09-2018,208.45
28-09-2018,71.6
29-09-2018,51.1
30-09-2018,222.7
01-10-2018,226.7
02-10-2018,203.4
03-10-2018,225.7
04-10-2018,147.2
05-10-2018,72.6
06-10-2018,45.4
07-10-2018,215
08-10-2018,213.45
09-10-2018,206.55
10-10-2018,230.3
11-10-2018,179.85
12-10-2018,67.75
13-10-2018,40.8
14-10-2018,210
15-10-2018,245.6
16-10-2018,216.2
17-10-2018,227.3
18-10-2018,192.1
19-10-2018,70.05
20-10-2018,54.4
21-10-2018,243.75
22-10-2018,232.2
23-10-2018,238.4
24-10-2018,231.3
25-10-2018,205.05
26-10-2018,74.6
27-10-2018,53.6
29-10-2018,259.7
30-10-2018,219.2
31-10-2018,245.35
01-11-2018,59.05
02-11-2018,177.75
03-11-2018,103.05
04-11-2018,63.15
05-11-2018,259.8
06-11-2018,239.15
07-11-2018,228.35
08-11-2018,201.05
09-11-2018,199.5
10-11-2018,74
11-11-2018,54.75
12-11-2018,61.8
13-11-2018,208.5
14-11-2018,264.1
15-11-2018,195.95
16-11-2018,204.3
17-11-2018,77.4
18-11-2018,57.85
19-11-2018,229.4
20-11-2018,265.85
21-11-2018,265.3
22-11-2018,220.75
23-11-2018,196.55
24-11-2018,78.75
25-11-2018,62.3
26-11-2018,247.1
27-11-2018,241.7
28-11-2018,229.15
29-11-2018,255.8
30-11-2018,173.05
01-12-2018,80.1
02-12-2018,59.75
03-12-2018,204.2
04-12-2018,256.35
05-12-2018,234.5
06-12-2018,221.55
07-12-2018,191.5
08-12-2018,69.15
09-12-2018,52.15
10-12-2018,242.3
11-12-2018,212.8
12-12-2018,232.4
13-12-2018,292.4
14-12-2018,227
15-12-2018,187.9
16-12-2018,115.25
17-12-2018,256.3
18-12-2018,248.65
19-12-2018,215.55
20-12-2018,236.85
21-12-2018,165.05
22-12-2018,79.25
